Linea;PK;Longitud;Latitud;Columna1
40;34410;-3.749238;40.207563;0
40;34420;-3.749244;40.207473;0
40;34430;-3.749249;40.207383;0
40;34440;-3.749254;40.207293;0
40;34450;-3.749259;40.207203;0
40;34460;-3.749264;40.207113;0
40;34470;-3.749269;40.207023;0
40;34480;-3.749275;40.206933;0
40;34490;-3.749280;40.206843;0
40;34500;-3.749286;40.206753;0
40;34510;-3.749294;40.206663;0
40;34520;-3.749301;40.206573;0
40;34530;-3.749307;40.206483;0
40;34540;-3.749313;40.206393;0
40;34550;-3.749320;40.206303;0
40;34560;-3.749327;40.206213;0
40;34570;-3.749334;40.206123;0
40;34580;-3.749342;40.206033;0
40;34590;-3.749349;40.205943;0
40;34600;-3.749356;40.205853;0
40;34610;-3.749364;40.205763;0
40;34620;-3.749373;40.205673;0
40;34630;-3.749380;40.205583;0
40;34640;-3.749387;40.205493;0
40;34650;-3.749394;40.205403;0
40;34660;-3.749402;40.205313;0
40;34670;-3.749409;40.205223;0
40;34680;-3.749417;40.205133;0
40;34690;-3.749425;40.205043;0
40;34700;-3.749432;40.204953;0
40;34710;-3.749440;40.204864;0
40;34720;-3.749448;40.204774;0
40;34730;-3.749455;40.204684;0
40;34740;-3.749463;40.204594;0
40;34750;-3.749470;40.204504;0
40;34760;-3.749478;40.204414;0
40;34770;-3.749486;40.204324;0
40;34780;-3.749492;40.204234;0
40;34790;-3.749499;40.204144;0
40;34800;-3.749506;40.204054;0
40;34810;-3.749514;40.203964;0
40;34820;-3.749521;40.203874;0
40;34830;-3.749528;40.203784;0
40;34840;-3.749536;40.203694;0
40;34850;-3.749542;40.203604;0
40;34860;-3.749548;40.203514;0
40;34870;-3.749554;40.203424;0
40;34880;-3.749559;40.203334;0
40;34890;-3.749564;40.203244;0
40;34900;-3.749569;40.203154;0
40;34910;-3.749574;40.203064;0
40;34920;-3.749579;40.202974;0
40;34930;-3.749585;40.202884;0
40;34940;-3.749590;40.202794;0
40;34950;-3.749595;40.202704;0
40;34960;-3.749600;40.202614;0
40;34970;-3.749605;40.202524;0
40;34980;-3.749610;40.202434;0
40;34990;-3.749616;40.202344;0
40;35000;-3.749622;40.202254;0
40;35010;-3.749627;40.202163;0
40;35020;-3.749632;40.202073;0
40;35030;-3.749637;40.201983;0
40;35040;-3.749642;40.201893;0
40;35050;-3.749647;40.201803;0
40;35060;-3.749652;40.201713;0
40;35070;-3.749657;40.201623;0
40;35080;-3.749662;40.201533;0
40;35090;-3.749668;40.201443;0
40;35100;-3.749673;40.201353;0
40;35110;-3.749678;40.201263;0
40;35120;-3.749683;40.201173;0
40;35130;-3.749687;40.201083;0
40;35140;-3.749692;40.200993;0
40;35150;-3.749698;40.200903;0
40;35160;-3.749703;40.200813;0
40;35170;-3.749709;40.200723;0
40;35180;-3.749715;40.200633;0
40;35190;-3.749721;40.200543;0
40;35200;-3.749727;40.200453;0
40;35210;-3.749732;40.200363;0
40;35220;-3.749737;40.200273;0
40;35230;-3.749742;40.200183;0
40;35240;-3.749747;40.200092;0
40;35250;-3.749752;40.200002;0
40;35260;-3.749757;40.199912;0
40;35270;-3.749762;40.199822;0
40;35280;-3.749767;40.199732;0
40;35290;-3.749772;40.199642;0
40;35300;-3.749777;40.199552;0
40;35310;-3.749781;40.199462;0
40;35320;-3.749786;40.199372;0
40;35330;-3.749791;40.199282;0
40;35340;-3.749797;40.199192;0
40;35350;-3.749802;40.199102;0
40;35360;-3.749809;40.199012;0
40;35370;-3.749815;40.198922;0
40;35380;-3.749821;40.198832;0
40;35390;-3.749828;40.198742;0
40;35400;-3.749835;40.198652;0
40;35410;-3.749842;40.198562;0
40;35420;-3.749849;40.198472;0
40;35430;-3.749856;40.198382;0
40;35440;-3.749863;40.198292;0
40;35450;-3.749871;40.198202;0
40;35460;-3.749880;40.198112;0
40;35470;-3.749888;40.198022;0
40;35480;-3.749897;40.197932;0
40;35490;-3.749906;40.197843;0
40;35500;-3.749915;40.197753;0
40;35510;-3.749925;40.197663;0
40;35520;-3.749934;40.197573;0
40;35530;-3.749943;40.197483;0
40;35540;-3.749952;40.197393;0
40;35550;-3.749962;40.197303;0
40;35560;-3.749972;40.197214;0
40;35570;-3.749983;40.197124;0
40;35580;-3.749993;40.197034;0
40;35590;-3.750004;40.196944;0
40;35600;-3.750015;40.196855;0
