Linea;PK;Longitud;Latitud
40;173000;-2.380506;40.049439
40;173001;-2.380495;40.049437
40;173002;-2.380483;40.049435
40;173003;-2.380472;40.049433
40;173004;-2.380460;40.049432
40;173005;-2.380449;40.049430
40;173006;-2.380437;40.049428
40;173007;-2.380426;40.049426
40;173008;-2.380414;40.049424
40;173009;-2.380403;40.049422
40;173010;-2.380391;40.049421
40;173011;-2.380380;40.049419
40;173012;-2.380368;40.049417
40;173013;-2.380357;40.049415
40;173014;-2.380345;40.049413
40;173015;-2.380334;40.049412
40;173016;-2.380322;40.049410
40;173017;-2.380311;40.049408
40;173018;-2.380299;40.049406
40;173019;-2.380288;40.049404
40;173020;-2.380276;40.049403
40;173021;-2.380265;40.049401
40;173022;-2.380253;40.049399
40;173023;-2.380242;40.049397
40;173024;-2.380230;40.049395
40;173025;-2.380219;40.049393
40;173026;-2.380207;40.049392
40;173027;-2.380196;40.049390
40;173028;-2.380184;40.049388
40;173029;-2.380173;40.049386
40;173030;-2.380162;40.049384
40;173031;-2.380150;40.049383
40;173032;-2.380139;40.049381
40;173033;-2.380127;40.049379
40;173034;-2.380116;40.049377
40;173035;-2.380104;40.049375
40;173036;-2.380093;40.049374
40;173037;-2.380081;40.049372
40;173038;-2.380070;40.049370
40;173039;-2.380058;40.049368
40;173040;-2.380047;40.049366
40;173041;-2.380035;40.049364
40;173042;-2.380024;40.049363
40;173043;-2.380012;40.049361
40;173044;-2.380001;40.049359
40;173045;-2.379989;40.049357
40;173046;-2.379978;40.049355
40;173047;-2.379966;40.049354
40;173048;-2.379955;40.049352
40;173049;-2.379943;40.049350
40;173050;-2.379932;40.049348
40;173051;-2.379920;40.049346
40;173052;-2.379909;40.049345
40;173053;-2.379897;40.049343
40;173054;-2.379886;40.049341
40;173055;-2.379874;40.049339
40;173056;-2.379863;40.049337
40;173057;-2.379851;40.049335
40;173058;-2.379840;40.049334
40;173059;-2.379828;40.049332
40;173060;-2.379817;40.049330
40;173061;-2.379806;40.049328
40;173062;-2.379794;40.049326
40;173063;-2.379783;40.049325
40;173064;-2.379771;40.049323
40;173065;-2.379760;40.049321
40;173066;-2.379748;40.049319
40;173067;-2.379737;40.049317
40;173068;-2.379725;40.049315
40;173069;-2.379714;40.049314
40;173070;-2.379702;40.049312
40;173071;-2.379691;40.049310
40;173072;-2.379679;40.049308
40;173073;-2.379668;40.049306
40;173074;-2.379656;40.049305
40;173075;-2.379645;40.049303
40;173076;-2.379633;40.049301
40;173077;-2.379622;40.049299
40;173078;-2.379610;40.049297
40;173079;-2.379599;40.049296
40;173080;-2.379587;40.049294
40;173081;-2.379576;40.049292
40;173082;-2.379564;40.049290
40;173083;-2.379553;40.049288
40;173084;-2.379541;40.049286
40;173085;-2.379530;40.049285
40;173086;-2.379518;40.049283
40;173087;-2.379507;40.049281
40;173088;-2.379495;40.049279
40;173089;-2.379484;40.049277
40;173090;-2.379473;40.049276
40;173091;-2.379461;40.049274
40;173092;-2.379450;40.049272
40;173093;-2.379438;40.049270
40;173094;-2.379427;40.049268
40;173095;-2.379415;40.049267
40;173096;-2.379404;40.049265
40;173097;-2.379392;40.049263
40;173098;-2.379381;40.049261
40;173099;-2.379369;40.049259
40;173100;-2.379358;40.049257
40;173101;-2.379346;40.049256
40;173102;-2.379335;40.049254
40;173103;-2.379323;40.049252
40;173104;-2.379312;40.049250
40;173105;-2.379300;40.049248
40;173106;-2.379289;40.049247
40;173107;-2.379277;40.049245
40;173108;-2.379266;40.049243
40;173109;-2.379254;40.049241
40;173110;-2.379243;40.049239
40;173111;-2.379231;40.049238
40;173112;-2.379220;40.049236
40;173113;-2.379208;40.049234
40;173114;-2.379197;40.049232
40;173115;-2.379185;40.049230
40;173116;-2.379174;40.049228
40;173117;-2.379163;40.049226
40;173118;-2.379151;40.049225
40;173119;-2.379140;40.049223
40;173120;-2.379128;40.049221
40;173121;-2.379117;40.049219
40;173122;-2.379105;40.049217
40;173123;-2.379094;40.049215
40;173124;-2.379082;40.049213
40;173125;-2.379071;40.049211
40;173126;-2.379059;40.049210
40;173127;-2.379048;40.049208
40;173128;-2.379036;40.049206
40;173129;-2.379025;40.049204
40;173130;-2.379013;40.049202
40;173131;-2.379002;40.049200
40;173132;-2.378991;40.049198
40;173133;-2.378979;40.049196
40;173134;-2.378968;40.049194
40;173135;-2.378956;40.049193
40;173136;-2.378945;40.049191
40;173137;-2.378933;40.049189
40;173138;-2.378922;40.049187
40;173139;-2.378910;40.049185
40;173140;-2.378899;40.049183
40;173141;-2.378887;40.049181
40;173142;-2.378876;40.049179
40;173143;-2.378864;40.049178
40;173144;-2.378853;40.049176
40;173145;-2.378841;40.049174
40;173146;-2.378830;40.049172
40;173147;-2.378819;40.049170
40;173148;-2.378807;40.049168
40;173149;-2.378796;40.049166
40;173150;-2.378784;40.049164
40;173151;-2.378773;40.049162
40;173152;-2.378761;40.049161
40;173153;-2.378750;40.049159
40;173154;-2.378738;40.049157
40;173155;-2.378727;40.049155
40;173156;-2.378715;40.049153
40;173157;-2.378704;40.049151
40;173158;-2.378692;40.049149
40;173159;-2.378681;40.049147
40;173160;-2.378670;40.049146
40;173161;-2.378658;40.049144
40;173162;-2.378647;40.049142
40;173163;-2.378635;40.049140
40;173164;-2.378624;40.049138
40;173165;-2.378612;40.049136
40;173166;-2.378601;40.049134
40;173167;-2.378589;40.049132
40;173168;-2.378578;40.049130
40;173169;-2.378566;40.049128
40;173170;-2.378555;40.049126
40;173171;-2.378544;40.049124
40;173172;-2.378532;40.049122
40;173173;-2.378521;40.049121
40;173174;-2.378509;40.049119
40;173175;-2.378498;40.049117
40;173176;-2.378486;40.049115
40;173177;-2.378475;40.049113
40;173178;-2.378463;40.049111
40;173179;-2.378452;40.049109
40;173180;-2.378441;40.049107
40;173181;-2.378429;40.049105
40;173182;-2.378418;40.049103
40;173183;-2.378406;40.049101
40;173184;-2.378395;40.049099
40;173185;-2.378383;40.049097
40;173186;-2.378372;40.049095
40;173187;-2.378360;40.049093
40;173188;-2.378349;40.049091
40;173189;-2.378338;40.049089
40;173190;-2.378326;40.049087
40;173191;-2.378315;40.049085
40;173192;-2.378303;40.049083
40;173193;-2.378292;40.049081
40;173194;-2.378280;40.049080
40;173195;-2.378269;40.049078
40;173196;-2.378257;40.049076
40;173197;-2.378246;40.049074
40;173198;-2.378235;40.049072
40;173199;-2.378223;40.049070
40;173200;-2.378212;40.049068
40;173201;-2.378200;40.049066
40;173202;-2.378189;40.049064
40;173203;-2.378177;40.049062
40;173204;-2.378166;40.049060
40;173205;-2.378154;40.049058
40;173206;-2.378143;40.049056
40;173207;-2.378132;40.049054
40;173208;-2.378120;40.049052
40;173209;-2.378109;40.049050
40;173210;-2.378097;40.049048
40;173211;-2.378086;40.049046
40;173212;-2.378074;40.049044
40;173213;-2.378063;40.049042
40;173214;-2.378051;40.049041
40;173215;-2.378040;40.049039
40;173216;-2.378029;40.049037
40;173217;-2.378017;40.049035
40;173218;-2.378006;40.049033
40;173219;-2.377994;40.049031
40;173220;-2.377983;40.049029
40;173221;-2.377971;40.049027
40;173222;-2.377960;40.049024
40;173223;-2.377949;40.049022
40;173224;-2.377937;40.049020
40;173225;-2.377926;40.049018
40;173226;-2.377914;40.049016
40;173227;-2.377903;40.049014
40;173228;-2.377891;40.049012
40;173229;-2.377880;40.049010
40;173230;-2.377869;40.049008
40;173231;-2.377857;40.049006
40;173232;-2.377846;40.049004
40;173233;-2.377834;40.049002
40;173234;-2.377823;40.049000
40;173235;-2.377811;40.048998
40;173236;-2.377800;40.048996
40;173237;-2.377789;40.048994
40;173238;-2.377777;40.048992
40;173239;-2.377766;40.048990
40;173240;-2.377754;40.048988
40;173241;-2.377743;40.048986
40;173242;-2.377731;40.048984
40;173243;-2.377720;40.048982
40;173244;-2.377709;40.048980
40;173245;-2.377697;40.048978
40;173246;-2.377686;40.048976
40;173247;-2.377674;40.048974
40;173248;-2.377663;40.048972
40;173249;-2.377651;40.048970
40;173250;-2.377640;40.048968
40;173251;-2.377629;40.048966
40;173252;-2.377617;40.048964
40;173253;-2.377606;40.048962
40;173254;-2.377594;40.048960
