Linea;PK;Longitud;Latitud
40;247010;-1.956.622;39.620.023
40;247020;-1.956.638;39.619.934
40;247030;-1.956.654;39.619.845
40;247040;-1.956.669;39.619.755
40;247050;-1.956.684;39.619.666
40;247060;-1.956.700;39.619.577
40;247070;-1.956.715;39.619.487
40;247080;-1.956.731;39.619.398
40;247090;-1.956.746;39.619.309
40;247100;-1.956.761;39.619.219
40;247110;-1.956.775;39.619.130
40;247120;-1.956.789;39.619.041
40;247130;-1.956.804;39.618.951
40;247140;-1.956.818;39.618.862
40;247150;-1.956.832;39.618.772
40;247160;-1.956.846;39.618.683
40;247170;-1.956.860;39.618.593
40;247180;-1.956.873;39.618.504
40;247190;-1.956.886;39.618.414
40;247200;-1.956.899;39.618.325
40;247210;-1.956.912;39.618.235
40;247220;-1.956.926;39.618.146
40;247230;-1.956.939;39.618.056
40;247240;-1.956.952;39.617.967
40;247250;-1.956.964;39.617.877
40;247260;-1.956.976;39.617.787
40;247270;-1.956.988;39.617.698
40;247280;-1.956.999;39.617.608
40;247290;-1.957.011;39.617.519
40;247300;-1.957.023;39.617.429
40;247310;-1.957.035;39.617.339
40;247320;-1.957.047;39.617.250
40;247330;-1.957.057;39.617.160
40;247340;-1.957.068;39.617.070
40;247350;-1.957.079;39.616.981
40;247360;-1.957.089;39.616.891
40;247370;-1.957.100;39.616.801
40;247380;-1.957.110;39.616.711
40;247390;-1.957.121;39.616.622
40;247400;-1.957.131;39.616.532
40;247410;-1.957.141;39.616.442
40;247420;-1.957.150;39.616.352
40;247430;-1.957.159;39.616.263
40;247440;-1.957.169;39.616.173
40;247450;-1.957.178;39.616.083
40;247460;-1.957.187;39.615.993
40;247470;-1.957.197;39.615.903
40;247480;-1.957.205;39.615.813
40;247490;-1.957.213;39.615.724
40;247500;-1.957.222;39.615.634
40;247510;-1.957.230;39.615.544
40;247520;-1.957.238;39.615.454
40;247530;-1.957.246;39.615.364
40;247540;-1.957.254;39.615.274
40;247550;-1.957.262;39.615.184
40;247560;-1.957.270;39.615.094
40;247570;-1.957.277;39.615.004
40;247580;-1.957.284;39.614.915
40;247590;-1.957.291;39.614.825
40;247600;-1.957.297;39.614.735
40;247610;-1.957.304;39.614.645
40;247620;-1.957.310;39.614.555
40;247630;-1.957.317;39.614.465
40;247640;-1.957.323;39.614.375
40;247650;-1.957.330;39.614.285
40;247660;-1.957.335;39.614.195
40;247670;-1.957.341;39.614.105
40;247680;-1.957.346;39.614.015
40;247690;-1.957.352;39.613.925
40;247700;-1.957.357;39.613.835
40;247710;-1.957.363;39.613.745
40;247720;-1.957.368;39.613.655
40;247730;-1.957.374;39.613.565
40;247740;-1.957.379;39.613.475
40;247750;-1.957.383;39.613.385
40;247760;-1.957.388;39.613.295
40;247770;-1.957.393;39.613.205
